"run_id","variant","seed","dataset","backend","accuracy","f1"
"signed-flip-recurrence-control_transition_topk_pair_order_signed_flip_recurrence_invariant_cross_direction-s42","V_control_symbolic_transition_topk_pair_order_signed_flip_recurrence_invariant_cross_direction","42","synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_flip_recurrence_binary","sim_quantum_statevector","0.636364","0.333333"
"signed-flip-recurrence-control_transition_topk_pair_order_signed_flip_recurrence_invariant_cross_direction-s123","V_control_symbolic_transition_topk_pair_order_signed_flip_recurrence_invariant_cross_direction","123","synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_flip_recurrence_binary","sim_quantum_statevector","0.636364","0.333333"
"signed-flip-recurrence-control_transition_topk_pair_order_signed_flip_recurrence_invariant_cross_direction-s777","V_control_symbolic_transition_topk_pair_order_signed_flip_recurrence_invariant_cross_direction","777","synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_flip_recurrence_binary","sim_quantum_statevector","0.636364","0.333333"
"signed-flip-recurrence-control_transition_topk_pair_order_signed_flip_recurrence_invariant_lookup-s42","V_control_symbolic_transition_topk_pair_order_signed_flip_recurrence_invariant_lookup","42","synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_flip_recurrence_binary","sim_quantum_statevector","0.454545","0.625"
"signed-flip-recurrence-control_transition_topk_pair_order_signed_flip_recurrence_invariant_lookup-s123","V_control_symbolic_transition_topk_pair_order_signed_flip_recurrence_invariant_lookup","123","synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_flip_recurrence_binary","sim_quantum_statevector","0.454545","0.625"
"signed-flip-recurrence-control_transition_topk_pair_order_signed_flip_recurrence_invariant_lookup-s777","V_control_symbolic_transition_topk_pair_order_signed_flip_recurrence_invariant_lookup","777","synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_flip_recurrence_binary","sim_quantum_statevector","0.454545","0.625"
"signed-flip-recurrence-control_transition_topk_pair_order_signed_flip_recurrence_invariant_orbit_permuted-s42","V_control_symbolic_transition_topk_pair_order_signed_flip_recurrence_invariant_orbit_permuted","42","synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_flip_recurrence_binary","sim_quantum_statevector","0.636364","0.333333"
"signed-flip-recurrence-control_transition_topk_pair_order_signed_flip_recurrence_invariant_orbit_permuted-s123","V_control_symbolic_transition_topk_pair_order_signed_flip_recurrence_invariant_orbit_permuted","123","synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_flip_recurrence_binary","sim_quantum_statevector","0.636364","0.333333"
"signed-flip-recurrence-control_transition_topk_pair_order_signed_flip_recurrence_invariant_orbit_permuted-s777","V_control_symbolic_transition_topk_pair_order_signed_flip_recurrence_invariant_orbit_permuted","777","synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_flip_recurrence_binary","sim_quantum_statevector","0.636364","0.333333"
"signed-flip-recurrence-control_transition_topk_pair_order_signed_flip_recurrence_invariant_quadratic-s42","V_control_symbolic_transition_topk_pair_order_signed_flip_recurrence_invariant_quadratic","42","synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_flip_recurrence_binary","sim_quantum_statevector","0.636364","0.333333"
"signed-flip-recurrence-control_transition_topk_pair_order_signed_flip_recurrence_invariant_quadratic-s123","V_control_symbolic_transition_topk_pair_order_signed_flip_recurrence_invariant_quadratic","123","synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_flip_recurrence_binary","sim_quantum_statevector","0.636364","0.333333"
"signed-flip-recurrence-control_transition_topk_pair_order_signed_flip_recurrence_invariant_quadratic-s777","V_control_symbolic_transition_topk_pair_order_signed_flip_recurrence_invariant_quadratic","777","synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_flip_recurrence_binary","sim_quantum_statevector","0.636364","0.333333"
"signed-flip-recurrence-transition_orbit_topk_pair_order_signed_flip_recurrence_invariant-s42","V_future_relational_witness_transition_orbit_topk_pair_order_signed_flip_recurrence_invariant","42","synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_flip_recurrence_binary","sim_quantum_statevector","0.454545","0"
"signed-flip-recurrence-transition_orbit_topk_pair_order_signed_flip_recurrence_invariant-s123","V_future_relational_witness_transition_orbit_topk_pair_order_signed_flip_recurrence_invariant","123","synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_flip_recurrence_binary","sim_quantum_statevector","0.454545","0.25"
"signed-flip-recurrence-transition_orbit_topk_pair_order_signed_flip_recurrence_invariant-s777","V_future_relational_witness_transition_orbit_topk_pair_order_signed_flip_recurrence_invariant","777","synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_flip_recurrence_binary","sim_quantum_statevector","0.636364","0.5"
