task,seed,method,stage10_method_alias,epochs,learning_rate,support_aux_weight,target_attention_aux_weight,support_route_weight,optimizer,training_tasks,support_classes,task_train_row_count,multitask_train_row_count,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,learned_copy_gate,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_mean_copy_gate,train_support_accuracy,train_mean_target_attention,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_mean_copy_gate,validation_support_accuracy,validation_mean_target_attention,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_mean_copy_gate,test_support_accuracy,test_mean_target_attention
phase_cued_retrieval,307,no_position,no_position,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.582359,1.0,0.857639,1.45377,4.279218,0.833333,0.902778,0.241072,0.245078,0.588256,0.857639,0.833333,0.042199,1.347821,3.849028,0.833333,0.916667,0.264279,0.266891,0.566443,0.857639,0.666667,0.024608,1.482623,4.404485,0.75,0.861111,0.233866,0.255806,0.494194,0.857639,0.75,0.017867
exact_offset_passkey,307,no_position,no_position,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.582359,1.0,0.857639,2.794985,16.362377,0.416667,0.581481,0.069701,0.084463,0.332204,0.857639,1.0,0.048451,3.418695,30.529536,0.0,0.204821,0.034541,0.057423,0.057423,0.857639,1.0,0.025508,3.774254,43.565017,0.083333,0.191635,0.026269,0.054096,0.029237,0.857639,1.0,0.018655
tiny_text_fact_qa,307,no_position,no_position,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.582359,1.0,0.857639,2.440209,11.475441,0.833333,0.881944,0.089465,0.093162,0.740172,0.857639,1.0,0.06696,2.892135,18.031762,0.333333,0.541667,0.05689,0.074683,0.293464,0.857639,1.0,0.040454,3.12236,22.699879,0.25,0.459127,0.047018,0.065739,0.204466,0.857639,1.0,0.029621
phase_cued_retrieval,307,sinusoidal,sinusoidal,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,3.255608,1.299358,0.857808,1.332346,3.789922,0.916667,0.958333,0.269357,0.271774,0.644893,0.857808,1.0,0.12201,1.412873,4.107742,0.833333,0.916667,0.250957,0.252893,0.58044,0.857808,0.833333,0.047729,1.475868,4.374831,0.833333,0.902778,0.232779,0.245186,0.588147,0.857808,0.916667,0.024877
exact_offset_passkey,307,sinusoidal,sinusoidal,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,3.255608,1.299358,0.857808,1.913656,6.777824,1.0,1.0,0.154973,0.154973,0.845027,0.857808,1.0,0.142615,2.5167,12.387649,0.5,0.75,0.081844,0.083484,0.416516,0.857808,1.0,0.079496,2.847821,17.250152,0.5,0.722222,0.059627,0.071142,0.428858,0.857808,1.0,0.060138
tiny_text_fact_qa,307,sinusoidal,sinusoidal,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,3.255608,1.299358,0.857808,1.660798,5.263512,1.0,1.0,0.191923,0.191923,0.808077,0.857808,1.0,0.173892,2.047305,7.746996,1.0,1.0,0.12995,0.12995,0.87005,0.857808,1.0,0.118392,2.299033,9.964539,0.916667,0.958333,0.101971,0.102498,0.814169,0.857808,1.0,0.08718
phase_cued_retrieval,307,alibi,alibi,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.567192,0.708953,0.857658,1.432722,4.190088,0.916667,0.958333,0.245231,0.24742,0.669247,0.857658,0.916667,0.042035,1.365138,3.916265,0.833333,0.916667,0.260053,0.262651,0.570682,0.857658,0.833333,0.021067,1.477807,4.383323,0.75,0.875,0.233654,0.254567,0.495433,0.857658,0.833333,0.014424
exact_offset_passkey,307,alibi,alibi,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.567192,0.708953,0.857658,2.779316,16.108002,0.25,0.519913,0.071756,0.085387,0.267502,0.857658,1.0,0.05093,3.496568,33.001999,0.0,0.124914,0.032121,0.056965,0.056965,0.857658,1.0,0.023802,3.866808,47.789586,0.083333,0.185247,0.024897,0.0581,0.025233,0.857658,1.0,0.017255
tiny_text_fact_qa,307,alibi,alibi,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.567192,0.708953,0.857658,2.429726,11.355773,0.583333,0.745833,0.090757,0.0951,0.488233,0.857658,1.0,0.068176,2.960611,19.309769,0.166667,0.368254,0.054934,0.080015,0.154902,0.857658,1.0,0.037153,3.18339,24.128409,0.25,0.386147,0.046205,0.071934,0.178066,0.857658,1.0,0.02698
phase_cued_retrieval,307,rope_relative,rope,10,0.03,0.7,0.6,1.0,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.204925,1.299774,0.85773,1.391451,4.020679,0.916667,0.958333,0.253817,0.254838,0.661829,0.85773,0.916667,0.057315,1.367688,3.926264,1.0,1.0,0.259472,0.259472,0.740528,0.85773,1.0,0.027627,1.461733,4.313429,0.833333,0.916667,0.236826,0.254243,0.57909,0.85773,1.0,0.01552
